state,1999,2005,2014,2015,2016,2017,2018,2019,2020,2021
,,,,,,,,,,
Alabama,3.9,6.3,15.2,15.7,16.2,18,16.6,16.3,22.3,30.1
Alaska,7.5,11.4,16.8,16,16.8,20.2,14.6,17.8,22,35.6
Arizona,10.6,14.1,12.6,19,20.3,22.2,23.8,26.8,35.8,38.7
Arkansas,4.4,10.1,18.2,13.8,14,15.5,15.7,13.5,19.1,22.3
California,8.1,9,11.1,11.3,11.2,11.7,12.8,15,21.8,26.6
Colorado,8,12.7,16.3,15.4,16.6,17.6,16.8,18,24.9,31.4
Connecticut,9,8.5,17.6,22.1,27.4,30.9,30.7,34.7,39.1,42.3
Delaware,6.4,7.5,20.9,22,30.8,37,43.8,48,47.3,54
Florida,6.4,13.5,13.2,16.2,23.7,25.1,22.8,25.5,35,37.5
Georgia,3.5,8.2,11.9,12.7,13.3,14.7,13.2,13.1,18,23.5
Hawaii,6.5,9.4,10.9,11.3,12.8,13.8,14.3,15.9,18.3,17.3
Idaho,5.3,8.1,13.7,14.2,15.2,14.4,14.6,15.1,15.9,19
Illinois,6.7,8.4,13.1,14.1,18.9,21.6,21.3,21.9,28.1,29
Indiana,3.2,9.8,18.2,19.5,24,29.4,25.6,26.6,36.7,43
Iowa,1.9,4.8,8.8,10.3,10.6,11.5,9.6,11.5,14.3,15.3
Kansas,3.4,9.1,11.7,11.8,11.1,11.8,12.4,14.3,17.4,24.3
Kentucky,4.9,15.3,24.7,29.9,33.5,37.2,30.9,32.5,49.2,55.6
Louisiana,4.3,14.7,16.9,19,21.8,24.5,25.4,28.3,42.7,55.9
Maine,5.3,12.4,16.8,21.2,28.7,34.4,27.9,29.9,39.7,47.1
Maryland,11.4,11.4,17.4,20.9,33.2,36.3,37.2,38.2,44.6,42.8
Massachusetts,7.5,12,19,25.7,33,31.8,32.8,32.1,33.9,36.8
Michigan,4.6,9.8,18,20.4,24.4,27.8,26.6,24.4,28.6,31.5
Minnesota,2.8,5.4,9.6,10.6,12.5,13.3,11.5,14.2,19,24.5
Mississippi,3.2,8.8,11.6,12.3,12.1,12.2,10.8,13.6,21.1,28.4
Missouri,5,10.7,18.2,17.9,23.6,23.4,27.5,26.9,32.1,36.5
Montana,4.6,10.1,12.4,13.8,11.7,11.7,12.2,14.1,15.6,19.5
Nebraska,2.3,5,7.2,6.9,6.4,8.1,7.4,8.7,11.3,11.4
Nevada,11.5,18.7,18.4,20.4,21.7,21.6,21.2,20.1,26,29.2
New Hampshire,4.3,10.7,26.2,34.3,39,37,35.8,32,30.3,32.3
New Jersey,6.5,9.4,14,16.3,23.2,30,33.1,31.7,32.1,32.4
New Mexico,15,20.1,27.3,25.3,25.2,24.8,26.7,30.2,39,51.6
New York,5,4.8,11.3,13.6,18,19.4,18.4,18.2,25.4,28.7
North Carolina,4.6,11.4,13.8,15.8,19.7,24.1,22.4,22.3,30.9,39.2
North Dakota,0,0,6.3,8.6,10.6,9.2,10.2,11.4,15.6,17.2
Ohio,4.2,10.9,24.6,29.9,39.1,46.3,35.9,38.3,47.2,48.1
Oklahoma,5.4,13.8,20.3,19,21.5,20.1,18.4,16.7,19.4,24.4
Oregon,6.1,10.4,12.8,12,11.9,12.4,12.6,14,18.7,26.8
Pennsylvania,8.1,13.2,21.9,26.3,37.9,44.3,36.1,35.6,42.4,43.2
Rhode Island,5.5,14.3,23.4,28.2,30.8,31,30.1,29.5,38.2,41.7
South Carolina,3.7,9.9,14.4,15.7,18.1,20.5,22.6,22.7,34.9,42.8
South Dakota,0,5.5,7.8,8.4,8.4,8.5,6.9,10.5,10.3,12.6
Tennessee,6.1,14.5,19.5,22.2,24.5,26.6,27.5,31.2,45.6,56.6
Texas,5.4,8.5,9.7,9.4,10.1,10.5,10.4,10.8,14.1,16.8
Utah,10.6,19.3,22.4,23.4,22.4,22.3,21.2,18.9,20.5,21.1
Vermont,4.7,8.5,13.9,16.7,22.2,23.2,26.6,23.8,32.9,42.3
Virginia,5,7.5,11.7,12.4,16.7,17.9,17.1,18.3,26.6,30.5
Washington,9.3,13,13.3,14.7,14.5,15.2,14.8,15.8,22,28.1
West Virginia,4.1,10.5,35.5,41.5,52,57.8,51.5,52.8,81.4,90.9
Wisconsin,4,9.3,15.1,15.5,19.3,21.2,19.2,21.1,27.7,31.6
Wyoming,4.1,4.9,19.4,16.4,17.6,12.2,11.1,14.1,17.4,18.9
